104 m3	m3/s
Storage	Release
103862.0252	167.6640
105175.8363	170.8355
106435.8227	159.5088
106991.1954	165.5403
108008.9708	249.2449
108581.4695	187.4858
109760.7189	216.1425
110232.9080	201.1629
110311.1984	292.2582
110776.0478	121.9890
111248.2368	152.9110
112691.7164	164.2377
113601.8425	216.3973
113817.1412	268.6702
113552.9110	287.8974
113626.3083	304.6326
114203.7001	169.1932
114431.2316	162.7086
114783.5385	258.6178
115177.4372	315.5063
115590.9084	130.9654
115656.9660	121.9890
115771.9550	136.8553
116273.5030	112.7860
116410.5112	123.4048
116236.8044	124.4809
116882.7003	142.4054
117178.7360	153.0242
118468.0813	156.5638
120628.4075	153.9870
121029.6459	156.8187
120863.2787	160.8114
122380.1556	247.1778
122544.0761	206.4864
122512.2707	171.9116
122659.0652	147.2476
123099.4488	168.5985
124349.6489	102.3088
124486.6571	162.1139
125399.2298	154.2135
126617.6244	201.5310
123762.4708	543.0888
122837.6652	239.7304
122641.9392	206.3732
122952.6543	93.6721
122857.2378	98.5143
123319.6406	126.9444
123035.8378	273.9655
124188.1749	327.4277
124670.1503	490.1080
123593.6571	153.2791
123799.1694	115.5044
123796.7228	78.3527
124024.2544	109.6145
124486.6571	357.0188
125110.5339	316.6673
124868.3229	370.6958
125132.5531	462.8672
124579.6270	292.8528
124535.5886	98.7692
124479.3174	549.1203
124829.1777	620.2522
124726.4215	551.4706
124063.3996	796.2980
122933.0817	689.0338
122519.6104	237.8615
122240.7008	81.7791
121335.4678	443.7533
121418.6514	441.0349
124073.1859	186.2965
124966.1859	203.1734
123114.1283	264.9891
121232.7117	276.6839
120065.6951	180.5199
120674.8924	474.7886
122583.2214	217.1053
123982.6626	87.3008
123857.8872	157.6399
124675.0435	185.1355
123045.6241	574.4922
120205.1499	420.2786
121005.1801	265.1306
123987.5557	426.8765
125678.1394	598.1934
124675.0435	649.6451
122615.0268	490.2496
120770.3089	282.9419
120300.5664	124.1127
121903.0734	244.4593
123669.5009	92.3979
125272.0079	344.5028
125546.0243	275.3813
122771.6077	488.5789
121286.5363	241.4011
119757.4266	247.1778
120628.4075	282.9419
121761.1720	283.5083
122879.2570	268.5287
124129.4571	301.5744
125727.0709	519.0195
123241.3502	556.1995
120581.9226	397.8517
121286.5363	380.3802
121807.6569	362.5689
122221.1282	241.5144
120853.4924	176.0458
121523.8541	545.0993
121286.5363	445.1691
120440.0212	453.5509
122052.3145	562.7973
123977.7694	426.8765
125829.8271	507.4662
126101.3970	482.5757
125499.5394	608.8122
123713.5393	308.3138
121315.8952	385.1091
121553.2131	398.3331
122235.8076	504.6345
123649.9283	520.9167
125364.9778	642.3110
125369.8709	740.7121
122827.8789	510.4112
120386.1965	418.1549
121315.8952	421.5812
121954.4514	535.8963
122747.1419	512.4217
124838.9640	514.0640
126081.8244	520.0955
124489.1037	588.3958
122470.6789	589.4718
121286.5363	599.7225
122519.6104	601.5065
123554.5119	669.3536
125438.3750	618.6098
126529.5477	439.8456
128122.2684	632.9948
125741.7504	659.8958
125401.6764	595.4750
123520.2598	748.8673
124014.4681	594.0591
124868.3229	542.1543
124772.9065	587.4613
123723.3256	504.0399
