10^4 m3	m3/s
Storage	Release
278381.1524	1266.584231
275415.9028	1311.664651
274818.9384	976.2232863
273666.6013	1059.644716
273517.3602	942.8377241
273578.5246	979.2815057
274297.8178	952.635353
274542.4753	942.7244567
274329.6233	747.56475
273436.6232	628.152608
273803.6095	785.5659582
274407.9137	794.2875469
273913.7054	838.0653917
273507.5739	923.3557337
274297.8178	1015.753604
276729.7139	927.8581123
279093.1059	676.0647124
277811.1003	994.6292365
276321.1358	942.9509915
278190.3195	1495.950689
280759.2238	1345.050213
281666.9033	1554.962997
279124.9113	1471.994636
277984.8071	803.0374525
282762.9692	1271.907798
281466.2841	1467.407307
279934.7279	1205.957863
280061.9498	1102.459788
283876.1611	1049.507285
287898.3313	794.8822007
286721.5284	1025.183114
283355.0405	1657.243447
278948.7579	1992.090158
274491.0973	2037.623647
271019.4066	2046.005434
268526.3461	2032.328397
268024.7981	1354.253188
269125.7571	836.8760842
270845.6997	1230.480252
270473.8202	1199.444988
270185.1243	1212.668955
269683.5763	1236.96481
269137.99	1314.609603
269010.768	997.121119
266366.0199	1445.943138
262419.6935	1491.250092
260645.9262	1131.62614
266595.998	947.4250533
266706.0939	1401.344104
264949.4526	1338.33912
264670.543	899.0598793
265030.1896	700.502151
267799.7131	780.8370448
269654.2174	1137.629312
272619.467	1454.777994
272966.8807	1355.329228
275070.9357	1335.252584
276844.7029	1574.076868
274319.837	1689.213167
279428.2867	2248.584154
279212.9881	2537.302722
280830.1745	2102.525859
284622.3666	1421.392432
288769.3122	1490.881973
287144.786	2051.329001
281708.4951	1959.044398
275645.8809	2082.477532
267914.7022	2227.006717
265651.6198	1957.996674
267679.8309	1393.30212
269920.8941	1525.57011
270123.9599	1597.778069
267285.9323	1353.205465
267963.6337	1509.061389
270713.5846	1645.690173
273346.0999	1771.813408
271070.7846	1897.936643
269690.916	1748.791812
268783.2365	1511.185152
268577.7242	1198.991918
267997.8857	994.5159692
266603.3377	986.3607173
268812.5954	1308.946234
268641.3351	1378.435775
268834.6146	1242.514912
266199.6527	987.4367575
266463.8829	648.2292522
266003.9267	745.8091055
266439.4171	851.7424286
264041.7731	867.2034269
264005.0744	684.7863011
265592.902	676.4894651
265624.7075	654.543909
264443.0115	725.1661244
265433.8746	835.8283609
265915.85	1060.23937
265673.639	1146.237633
265644.2801	1070.093633
264599.5923	758.8914887
265238.1485	487.7010489
263968.3758	489.4850102
267356.883	665.0211422
266547.0664	712.9615635
265287.08	878.1337297
265698.1047	642.6508334
265729.9102	551.2440526
268822.3817	442.2241932
268956.9434	536.7458272
271085.4641	665.3326275
269179.5817	784.2067495
268597.2968	918.683454
265947.6554	993.7797311
265671.1924	692.4035329
265773.9486	514.4604689
265086.4608	409.5465523
266309.7486	1277.967604
267227.2144	1250.641847
266627.8034	1201.143999
266131.1486	1236.002037
266314.6418	1034.131238
266684.0747	546.4018718
273155.267	624.4714179
275044.0233	1171.779429
276455.6974	808.2760691
275741.2974	882.5511577
274329.6233	1375.604091
275785.3357	1357.169823
275878.3056	1297.421277
272399.2752	1448.548287
273074.53	1095.210676
272771.1546	1698.189607
270657.3134	1790.700745
270116.6202	1658.885824
271702.0011	1207.940042
275897.8782	1266.839083
278317.5414	1415.445894
282339.7116	1485.869891
296632.606	2073.642676
309066.1029	2620.610885
310974.4319	3590.944267
305425.5985	4342.983079
294225.1756	4231.612921
283448.0103	4120.582566
280609.9827	3196.858713
278689.4209	2466.510606
275521.1056	2261.581587
275222.6233	2085.195949
271628.6039	2015.819675
274388.3411	1434.021745
274439.7192	1020.90727
274295.3712	879.4646215
273321.6341	1339.754963
270965.5819	1519.425354
272988.8999	1411.934605
274148.5767	1323.557727
271826.7765	1192.224192
270583.9161	847.7497533
267293.272	930.2650442
270818.7874	983.10428
278244.1442	861.5966913
294237.4085	799.0164603
306002.9903	1730.782297
308197.5686	2076.361093
301462.1461	2436.721283
296774.5074	2628.171483
290450.1096	2904.487272
288994.3971	2767.631952
286679.9366	2501.283693
288749.7396	2387.336702
288642.0902	2161.283316
284776.5009	2125.405872
280443.6156	1706.684661
277527.2975	1171.269726
275885.6453	1058.993429
275398.7768	697.5288821
275780.4426	642.6225166
275107.6343	696.8209609
276925.4399	451.3988515
277458.7934	538.7846401
277414.755	457.6002409
277953.0017	524.3713652
278740.799	421.8643805
279078.4264	397.7101104
279756.1278	355.0366226
279910.2621	416.9089324
280296.821	373.6974245
283440.6706	93.10579159
284030.2953	409.1501164
287851.8463	159.2256284
288979.7177	149.8527522
291054.4137	160.7547381
294332.825	137.4216565
295059.4579	294.5235214
295705.3539	241.8825036
297843.6609	155.3462204
300087.1707	49.24299622
303138.0504	5.946537784
306206.0561	35.11288977
309398.8372	99.7319337
310680.8428	40.35150639
313467.4923	155.5161215
316129.3665	24.86219131
318424.2544	37.71803966
321719.7917	-34.32001807
324437.9371	-52.27289881
327023.9675	29.84595631
329954.965	-4.587329148
331640.6555	135.6943289
333245.6091	47.79883705
335574.749	43.2115079
338089.8287	-19.53862415
340448.3275	-1.783961335
341923.6126	112.9842179
342432.5003	260.2318202
343704.7196	232.8777464
344477.8374	172.5345463
346679.7554	122.187193
348360.5528	122.8101637
348825.4022	199.1240652
350662.7804	252.8694401
351766.186	142.7452237
352651.8464	238.3712146
353495.9149	271.9549947
354731.4356	407.0263529
355673.3672	155.1763193
