10^4 m3	m3/s
Storage	Release
296632.606	2154.912026
309066.1029	3328.53205
310974.4319	3993.043488
305425.5985	3926.725434
294225.1756	3687.929466
283448.0103	3565.572372
280609.9827	2681.492105
278689.4209	1682.133955
275521.1056	1420.571243
275222.6233	1419.750054
271628.6039	1404.175789
274388.3411	1105.546325
274439.7192	921.2319702
274295.3712	948.8408956
273321.6341	1426.121345
270965.5819	1475.534242
272988.8999	1431.64313
274148.5767	1345.418332
271826.7765	1019.774596
270583.9161	847.7497533
267293.272	953.569809
270818.7874	973.0517994
278244.1442	991.5710171
294237.4085	1291.729591
306002.9903	1848.863548
308197.5686	2180.28392
301462.1461	2180.170653
296774.5074	2257.220792
290450.1096	2301.338439
288994.3971	2266.423768
286679.9366	2232.556819
288749.7396	1792.682924
288642.0902	1357.084873
284776.5009	1358.019329
280443.6156	1143.179414
277527.2975	906.5072099
275885.6453	905.7992888
275398.7768	708.8556207
275780.4426	736.3512788
275107.6343	703.7869052
276925.4399	574.0107973
277458.7934	572.4816876
277414.755	577.6636705
277953.0017	570.8109936
278740.799	566.5634666
279078.4264	569.8765377
279756.1278	570.8109936
279910.2621	570.1030724
280296.821	474.7885668
283440.6706	287.0761907
284030.2953	285.4054968
287851.8463	284.9524273
288979.7177	284.3577735
291054.4137	286.481537
294332.825	284.9524273
295059.4579	286.2266854
295705.3539	287.1894581
297843.6609	237.748244
300087.1707	142.4054215
303138.0504	143.0000753
306206.0561	143.0000753
309398.8372	142.7735405
310680.8428	143.7079965
313467.4923	143.1133427
316129.3665	142.6602731
318424.2544	142.7735405
321719.7917	142.6602731
324437.9371	144.529185
327023.9675	136.034131
329954.965	141.8107677
331640.6555	141.584233
333245.6091	142.6602731
335574.749	144.3026502
338089.8287	144.4159176
340448.3275	142.0656194
341923.6126	141.584233
342432.5003	141.584233
343704.7196	143.1133427
344477.8374	141.952352
346679.7554	141.952352
348360.5528	142.0656194
348825.4022	142.7735405
350662.7804	141.584233
351766.186	142.2921541
352651.8464	146.0582947
