Matrics,Variables,Subbasin,Percent_Change
Concentration,TN,22,-70.73490063
Concentration,TN,23,-57.25745713
Concentration,TN,24,-46.67752474
Concentration,TN,25,-90.56406826
Concentration,TN,26,-73.4782749
Concentration,TN,27,13.79608634
Concentration,TN,28,-74.79508413
Concentration,TN,29,-94.71209556
Concentration,TN,30,39.49913657
Concentration,TN,31,13.47006383
Concentration,TN,32,-39.53141321
Concentration,TN,33,-97.32121859
Concentration,TN,34,-92.05227517
Concentration,TN,35,-83.50218252
Concentration,TN,36,-90.18818293
Concentration,TN,37,-83.77527729
Concentration,TN,38,-21.01668115
Concentration,TN,39,-76.2772557
Concentration,TN,40,-75.13501041
Concentration,TN,41,-97.00827898
Concentration,TN,42,-78.10424248
Concentration,TN,43,-80.70795803
Concentration,TN,44,-68.23281479
Concentration,TN,45,-82.31568526
Concentration,TN,46,-79.12213812
Concentration,TN,47,-79.30473112
Concentration,TN,48,-96.93644589
Concentration,TN,49,-90.43353618
Concentration,TN,50,-89.35237714
Concentration,TN,51,-90.06960532
Concentration,TN,52,-95.74898828
Concentration,TN,53,-87.10265493
Concentration,TN,54,-40.94927895
Concentration,TN,55,-81.64452868
Loading,NO3,1,-94.58064516
Loading,NO3,2,-89.54630496
Loading,NO3,3,-93.93085027
Loading,NO3,4,-90.13147952
Loading,NO3,5,-92.38617041
Loading,NO3,6,-92.17128028
Loading,NO3,7,-63.9261745
Loading,NO3,8,-73.15192744
Loading,NO3,9,-89.86834574
Loading,NO3,10,-72.04262877
Loading,NO3,11,-91.03663289
Loading,NO3,12,-82.69916766
Loading,NO3,13,-88.61418347
Loading,NO3,14,-85.021398
Loading,NO3,15,-96.38932496
Loading,NO3,16,-90.66232356
Loading,NO3,17,-85.47247024
Loading,NO3,18,-90.26819923
Loading,NO3,19,-91.01442938
Loading,NO3,20,-91.59149485
Loading,NO3,21,-96.60194175
Loading,NO3,22,-89.05419766
Loading,NO3,23,-85.60885609
Loading,NO3,24,-92.96469695
Loading,NO3,25,-96.89804221
Loading,NO3,26,-98.25268817
Loading,NO3,27,-75.53956835
Loading,NO3,28,-98.31328633
Loading,NO3,29,-97.3733938
Loading,NO3,30,-37.93103448
Loading,NO3,31,-29.66841187
Loading,NO3,32,-93.7917223
Loading,NO3,33,-99.12908845
Loading,NO3,34,-95.42767733
Loading,NO3,35,-90.40524434
Loading,NO3,36,-93.60152043
Loading,NO3,37,-94.21400264
Loading,NO3,38,-89.33731938
Loading,NO3,39,-85.33444121
Loading,NO3,40,-97.8311645
Loading,NO3,41,-98.74276591
Loading,NO3,42,-86.57388457
Loading,NO3,43,-57.17539863
Loading,NO3,44,-89.03878583
Loading,NO3,45,-97.30416097
Loading,NO3,46,-92.07953064
Loading,NO3,47,-50.87440382
Loading,NO3,48,-98.64214295
Loading,NO3,49,-97.76450183
Loading,NO3,50,-92.36095084
Loading,NO3,51,-97.0428354
Loading,NO3,52,-98.83208462
Loading,NO3,53,-92.39861201
Loading,NO3,54,-86.41810919
Loading,NO3,55,-96.43801799
Concentration,NO3,1,-94.74017052
Concentration,NO3,2,-89.64974324
Concentration,NO3,3,-95.83779516
Concentration,NO3,4,-96.28436859
Concentration,NO3,5,-92.49012381
Concentration,NO3,6,-90.93064747
Concentration,NO3,7,-95.20041424
Concentration,NO3,8,-70.85953829
Concentration,NO3,9,-82.2053831
Concentration,NO3,10,-71.18996205
Concentration,NO3,11,-92.76563969
Concentration,NO3,12,-77.86279571
Concentration,NO3,13,-67.14149693
Concentration,NO3,14,-95.77541569
Concentration,NO3,15,-65.95205002
Concentration,NO3,16,-93.5579424
Concentration,NO3,17,-85.44133431
Concentration,NO3,18,-72.31897567
Concentration,NO3,19,-82.64552853
Concentration,NO3,20,-90.56129509
Concentration,NO3,21,-96.50111833
Concentration,NO3,22,-93.27230195
Concentration,NO3,23,-83.5075842
Concentration,NO3,24,-87.18283651
Concentration,NO3,25,-97.50655515
Concentration,NO3,26,-90.26157104
Concentration,NO3,27,-70.89545021
Concentration,NO3,28,-93.64412137
Concentration,NO3,29,-98.00841812
Concentration,NO3,30,-34.93952719
Concentration,NO3,31,-34.28084477
Concentration,NO3,32,-73.4960213
Concentration,NO3,33,-98.3180441
Concentration,NO3,34,-94.85697218
Concentration,NO3,35,-90.03439799
Concentration,NO3,36,-96.1423913
Concentration,NO3,37,-90.32914249
Concentration,NO3,38,-87.49407278
Concentration,NO3,39,-82.29612539
Concentration,NO3,40,-92.01157592
Concentration,NO3,41,-98.36705254
Concentration,NO3,42,-93.63806489
Concentration,NO3,43,-93.94590885
Concentration,NO3,44,-88.55522003
Concentration,NO3,45,-96.52019471
Concentration,NO3,46,-94.09937601
Concentration,NO3,47,-93.19205532
Concentration,NO3,48,-98.40241625
Concentration,NO3,49,-97.40058591
Concentration,NO3,50,-96.87543089
Concentration,NO3,51,-97.02210174
Concentration,NO3,52,-98.55047391
Concentration,NO3,53,-95.82650634
Concentration,NO3,54,-78.53549886
Concentration,NO3,55,-94.63093493
