!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
198701       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198702       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198703       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198704       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198705       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198706       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198707       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198708       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198709       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198710       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198711       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198712       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198801       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198802       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198803       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198804       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198805       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198806       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198807       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198808       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198809       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198810       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198811       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198812       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198901       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198902       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198903       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198904       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198905       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198906       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198907       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198908       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198909       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198910       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198911       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198912       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199001       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199002       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199003       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199004       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199005       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199006       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199007       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199008       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199009       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199010       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199011       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199012       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199101       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199102       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199103       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199104       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199105       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199106       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199107       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199108       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199109       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199110       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199111       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
