      CROP        SUB        HRU       YEAR      YIELD    BIOMASS
      SWCH          9        481          5        0.0        0.0
      SWCH          9        481          6        0.0        0.0
      SWCH          9        481          7        0.0        0.0
      SWCH          9        481          8        0.0        0.0
      SWCH          9        481          9        0.0        0.0
      SWCH          9        481         10        0.0        0.0
      SWCH          9        482          1       10.3    27975.3
      SWCH          9        482          2        0.0        0.0
      SWCH          9        482          3        0.0        0.0
      SWCH          9        482          4        0.0        0.0
      SWCH          9        482          5        0.0        0.0
      SWCH          9        482          6        0.0        0.0
      SWCH          9        482          7        0.0        0.0
      SWCH          9        482          8        0.0        0.0
      SWCH          9        482          9        0.0        0.0
      SWCH          9        482         10        0.0        0.0
      SWCH          9        483          1       10.3    27979.5
      SWCH          9        483          2        0.0        0.0
      SWCH          9        483          3        0.0        0.0
      SWCH          9        483          4        0.0        0.0
      SWCH          9        483          5        0.0        0.0
      SWCH          9        483          6        0.0        0.0
      SWCH          9        483          7        0.0        0.0
      SWCH          9        483          8        0.0        0.0
      SWCH          9        483          9        0.0        0.0
      SWCH          9        483         10        0.0        0.0
      SWCH          9        484          1       10.3    27955.5
      SWCH          9        484          2        0.0        0.0
      SWCH          9        484          3        0.0        0.0
      SWCH          9        484          4        0.0        0.0
      SWCH          9        484          5        0.0        0.0
      SWCH          9        484          6        0.0        0.0
      SWCH          9        484          7        0.0        0.0
      SWCH          9        484          8        0.0        0.0
      SWCH          9        484          9        0.0        0.0
      SWCH          9        484         10        0.0        0.0
      SWCH         10        513          1       23.4    34242.1
      SWCH         10        513          2        0.0        0.0
      SWCH         10        513          3        0.0        0.0
      SWCH         10        513          4        0.0        0.0
      SWCH         10        513          5        0.0        0.0
      SWCH         10        513          6        0.0        0.0
      SWCH         10        513          7        0.0        0.0
      SWCH         10        513          8        0.0        0.0
      SWCH         10        513          9        0.0        0.0
      SWCH         10        513         10        0.0        0.0
      SWCH         10        514          1       28.7    33150.2
      SWCH         10        514          2        0.0        0.0
      SWCH         10        514          3        0.0        0.0
      SWCH         10        514          4        0.0        0.0
      SWCH         10        514          5        0.0        0.0
      SWCH         10        514          6        0.0        0.0
      SWCH         10        514          7        0.0        0.0
      SWCH         10        514          8        0.0        0.0
      SWCH         10        514          9        0.0        0.0
      SWCH         10        514         10        0.0        0.0
      SWCH         10        515          1       23.6    34193.1
      SWCH         10        515          2        0.0        0.0
      SWCH         10        515          3        0.0        0.0
      SWCH         10        515          4        0.0        0.0
      SWCH         10        515          5        0.0        0.0
      SWCH         10        515          6        0.0        0.0
      SWCH         10        515          7        0.0        0.0
      SWCH         10        515          8        0.0        0.0
      SWCH         10        515          9        0.0        0.0
      SWCH         10        515         10        0.0        0.0
      SWCH         10        516          1       23.4    34231.8
      SWCH         10        516          2        0.0        0.0
      SWCH         10        516          3        0.0        0.0
      SWCH         10        516          4        0.0        0.0
      SWCH         10        516          5        0.0        0.0
      SWCH         10        516          6        0.0        0.0
      SWCH         10        516          7        0.0        0.0
      SWCH         10        516          8        0.0        0.0
      SWCH         10        516          9        0.0        0.0
      SWCH         10        516         10        0.0        0.0
      SWCH         10        517          1       78.0    28210.8
      SWCH         10        517          2        0.0        0.0
      SWCH         10        517          3        0.0        0.0
      SWCH         10        517          4        0.0        0.0
      SWCH         10        517          5        0.0        0.0
      SWCH         10        517          6        0.0        0.0
      SWCH         10        517          7        0.0        0.0
      SWCH         10        517          8        0.0        0.0
      SWCH         10        517          9        0.0        0.0
      SWCH         10        517         10        0.0        0.0
      SWCH         10        518          1       70.9    28438.6
      SWCH         10        518          2        0.0        0.0
      SWCH         10        518          3        0.0        0.0
      SWCH         10        518          4        0.0        0.0
      SWCH         10        518          5        0.0        0.0
      SWCH         10        518          6        0.0        0.0
      SWCH         10        518          7        0.0        0.0
      SWCH         10        518          8        0.0        0.0
      SWCH         10        518          9        0.0        0.0
      SWCH         10        518         10        0.0        0.0
      SWCH         10        519          1       70.8    28443.2
      SWCH         10        519          2        0.0        0.0
      SWCH         10        519          3        0.0        0.0
      SWCH         10        519          4        0.0        0.0
      SWCH         10        519          5        0.0        0.0
      SWCH         10        519          6        0.0        0.0
      SWCH         10        519          7        0.0        0.0
      SWCH         10        519          8        0.0        0.0
      SWCH         10        519          9        0.0        0.0
      SWCH         10        519         10        0.0        0.0
      SWCH         10        520          1       71.2    28427.5
      SWCH         10        520          2        0.0        0.0
      SWCH         10        520          3        0.0        0.0
      SWCH         10        520          4        0.0        0.0
      SWCH         10        520          5        0.0        0.0
      SWCH         10        520          6        0.0        0.0
      SWCH         10        520          7        0.0        0.0
      SWCH         10        520          8        0.0        0.0
      SWCH         10        520          9        0.0        0.0
      SWCH         10        520         10        0.0        0.0
      SWCH         10        521          1       35.4    36297.3
      SWCH         10        521          2        0.0        0.0
      SWCH         10        521          3        0.0        0.0
      SWCH         10        521          4        0.0        0.0
      SWCH         10        521          5        0.0        0.0
      SWCH         10        521          6        0.0        0.0
      SWCH         10        521          7        0.0        0.0
      SWCH         10        521          8        0.0        0.0
      SWCH         10        521          9        0.0        0.0
      SWCH         10        521         10        0.0        0.0
      SWCH         10        522          1       39.7    35592.3
      SWCH         10        522          2        0.0        0.0
      SWCH         10        522          3        0.0        0.0
      SWCH         10        522          4        0.0        0.0
      SWCH         10        522          5        0.0        0.0
      SWCH         10        522          6        0.0        0.0
      SWCH         10        522          7        0.0        0.0
      SWCH         10        522          8        0.0        0.0
      SWCH         10        522          9        0.0        0.0
      SWCH         10        522         10        0.0        0.0
      SWCH         10        523          1       35.3    36334.8
      SWCH         10        523          2        0.0        0.0
      SWCH         10        523          3        0.0        0.0
      SWCH         10        523          4        0.0        0.0
      SWCH         10        523          5        0.0        0.0
      SWCH         10        523          6        0.0        0.0
      SWCH         10        523          7        0.0        0.0
      SWCH         10        523          8        0.0        0.0
      SWCH         10        523          9        0.0        0.0
      SWCH         10        523         10        0.0        0.0
      SWCH         10        524          1       35.4    36327.6
      SWCH         10        524          2        0.0        0.0
      SWCH         10        524          3        0.0        0.0
      SWCH         10        524          4        0.0        0.0
      SWCH         10        524          5        0.0        0.0
      SWCH         10        524          6        0.0        0.0
      SWCH         10        524          7        0.0        0.0
      SWCH         10        524          8        0.0        0.0
      SWCH         10        524          9        0.0        0.0
      SWCH         10        524         10        0.0        0.0
      SWCH         10        525          1       79.9    29648.6
      SWCH         10        525          2        0.0        0.0
      SWCH         10        525          3        0.0        0.0
      SWCH         10        525          4        0.0        0.0
      SWCH         10        525          5        0.0        0.0
      SWCH         10        525          6        0.0        0.0
      SWCH         10        525          7        0.0        0.0
      SWCH         10        525          8        0.0        0.0
      SWCH         10        525          9        0.0        0.0
      SWCH         10        525         10        0.0        0.0
      SWCH         10        526          1      121.8    29504.5
      SWCH         10        526          2        0.0        0.0
      SWCH         10        526          3        0.0        0.0
      SWCH         10        526          4        0.0        0.0
      SWCH         10        526          5        0.0        0.0
      SWCH         10        526          6        0.0        0.0
      SWCH         10        526          7        0.0        0.0
      SWCH         10        526          8        0.0        0.0
      SWCH         10        526          9        0.0        0.0
      SWCH         10        526         10        0.0        0.0
      SWCH         10        527          1       80.4    29649.0
      SWCH         10        527          2        0.0        0.0
      SWCH         10        527          3        0.0        0.0
      SWCH         10        527          4        0.0        0.0
      SWCH         10        527          5        0.0        0.0
      SWCH         10        527          6        0.0        0.0
      SWCH         10        527          7        0.0        0.0
      SWCH         10        527          8        0.0        0.0
      SWCH         10        527          9        0.0        0.0
      SWCH         10        527         10        0.0        0.0
      SWCH         10        528          1       80.0    29648.9
      SWCH         10        528          2        0.0        0.0
      SWCH         10        528          3        0.0        0.0
      SWCH         10        528          4        0.0        0.0
      SWCH         10        528          5        0.0        0.0
      SWCH         10        528          6        0.0        0.0
      SWCH         10        528          7        0.0        0.0
      SWCH         10        528          8        0.0        0.0
      SWCH         10        528          9        0.0        0.0
      SWCH         10        528         10        0.0        0.0
      SWCH         11        613          1       11.8    34857.9
      SWCH         11        613          2        0.0        0.0
      SWCH         11        613          3        0.0        0.0
      SWCH         11        613          4        0.0        0.0
      SWCH         11        613          5        0.0        0.0
      SWCH         11        613          6        0.0        0.0
      SWCH         11        613          7        0.0        0.0
      SWCH         11        613          8        0.0        0.0
      SWCH         11        613          9        0.0        0.0
      SWCH         11        613         10        0.0        0.0
      SWCH         11        614          1       11.8    34862.1
      SWCH         11        614          2        0.0        0.0
      SWCH         11        614          3        0.0        0.0
      SWCH         11        614          4        0.0        0.0
      SWCH         11        614          5        0.0        0.0
      SWCH         11        614          6        0.0        0.0
      SWCH         11        614          7        0.0        0.0
      SWCH         11        614          8        0.0        0.0
      SWCH         11        614          9        0.0        0.0
      SWCH         11        614         10        0.0        0.0
      SWCH         11        615          1       11.8    34624.5
      SWCH         11        615          2        0.0        0.0
      SWCH         11        615          3        0.0        0.0
      SWCH         11        615          4        0.0        0.0
      SWCH         11        615          5        0.0        0.0
      SWCH         11        615          6        0.0        0.0
      SWCH         11        615          7        0.0        0.0
      SWCH         11        615          8        0.0        0.0
      SWCH         11        615          9        0.0        0.0
      SWCH         11        615         10        0.0        0.0
      SWCH         11        616          1       11.8    34844.8
      SWCH         11        616          2        0.0        0.0
      SWCH         11        616          3        0.0        0.0
      SWCH         11        616          4        0.0        0.0
      SWCH         11        616          5        0.0        0.0
      SWCH         11        616          6        0.0        0.0
      SWCH         11        616          7        0.0        0.0
      SWCH         11        616          8        0.0        0.0
      SWCH         11        616          9        0.0        0.0
      SWCH         11        616         10        0.0        0.0
      SWCH         11        617          1       10.3    30559.2
      SWCH         11        617          2        0.0        0.0
      SWCH         11        617          3        0.0        0.0
      SWCH         11        617          4        0.0        0.0
      SWCH         11        617          5        0.0        0.0
      SWCH         11        617          6        0.0        0.0
      SWCH         11        617          7        0.0        0.0
      SWCH         11        617          8        0.0        0.0
      SWCH         11        617          9        0.0        0.0
      SWCH         11        617         10        0.0        0.0
      SWCH         11        618          1       10.3    30567.2
      SWCH         11        618          2        0.0        0.0
      SWCH         11        618          3        0.0        0.0
      SWCH         11        618          4        0.0        0.0
      SWCH         11        618          5        0.0        0.0
      SWCH         11        618          6        0.0        0.0
      SWCH         11        618          7        0.0        0.0
      SWCH         11        618          8        0.0        0.0
      SWCH         11        618          9        0.0        0.0
      SWCH         11        618         10        0.0        0.0
      SWCH         11        619          1       10.3    30565.3
      SWCH         11        619          2        0.0        0.0
      SWCH         11        619          3        0.0        0.0
      SWCH         11        619          4        0.0        0.0
      SWCH         11        619          5        0.0        0.0
      SWCH         11        619          6        0.0        0.0
      SWCH         11        619          7        0.0        0.0
      SWCH         11        619          8        0.0        0.0
      SWCH         11        619          9        0.0        0.0
      SWCH         11        619         10        0.0        0.0
      SWCH         11        620          1       10.2    30476.4
      SWCH         11        620          2        0.0        0.0
      SWCH         11        620          3        0.0        0.0
      SWCH         11        620          4        0.0        0.0
      SWCH         11        620          5        0.0        0.0
      SWCH         11        620          6        0.0        0.0
      SWCH         11        620          7        0.0        0.0
      SWCH         11        620          8        0.0        0.0
      SWCH         11        620          9        0.0        0.0
      SWCH         11        620         10        0.0        0.0
      SWCH         11        621          1       19.4    22762.0
      SWCH         11        621          2        0.0        0.0
      SWCH         11        621          3        0.0        0.0
      SWCH         11        621          4        0.0        0.0
      SWCH         11        621          5        0.0        0.0
      SWCH         11        621          6        0.0        0.0
      SWCH         11        621          7        0.0        0.0
      SWCH         11        621          8        0.0        0.0
      SWCH         11        621          9        0.0        0.0
      SWCH         11        621         10        0.0        0.0
      SWCH         11        622          1       19.5    22755.6
      SWCH         11        622          2        0.0        0.0
      SWCH         11        622          3        0.0        0.0
      SWCH         11        622          4        0.0        0.0
      SWCH         11        622          5        0.0        0.0
      SWCH         11        622          6        0.0        0.0
      SWCH         11        622          7        0.0        0.0
      SWCH         11        622          8        0.0        0.0
